NUTS_ID,CROP_NAME,VARIABLE,AVG_VALUE,YEAR_MIN,YEAR_MAX,YEAR_COUNT,UNIT,SOURCE
AT11,Total wheat,Area,44493.28352941176,2006,2022,17,ha,NSI
AT11,Total wheat,Production,202782.81705882354,2006,2022,17,t,NSI
AT11,Total wheat,Yield,4.568235294117647,2006,2022,17,t/ha,NSI
AT12,Total wheat,Area,179513.84411764707,2006,2022,17,ha,NSI
AT12,Total wheat,Production,941240.165882353,2006,2022,17,t,NSI
AT12,Total wheat,Yield,5.252352941176471,2006,2022,17,t/ha,NSI
AT13,Total wheat,Area,1412.8664705882352,2006,2022,17,ha,NSI
AT13,Total wheat,Production,6615.7458823529405,2006,2022,17,t,NSI
AT13,Total wheat,Yield,4.713529411764705,2006,2022,17,t/ha,NSI
AT21,Total wheat,Area,2996.106875,2007,2022,16,ha,NSI
AT21,Total wheat,Production,17107.91875,2007,2022,16,t,NSI
AT21,Total wheat,Yield,5.666875,2007,2022,16,t/ha,NSI
AT22,Total wheat,Area,6873.790588235294,2006,2022,17,ha,NSI
AT22,Total wheat,Production,43168.10764705882,2006,2022,17,t,NSI
AT22,Total wheat,Yield,6.187647058823529,2006,2022,17,t/ha,NSI
AT31,Total wheat,Area,48374.446470588235,2006,2022,17,ha,NSI
AT31,Total wheat,Production,336283.13,2006,2022,17,t,NSI
AT31,Total wheat,Yield,6.947647058823529,2006,2022,17,t/ha,NSI
AT32,Total wheat,Area,254.05999999999997,2008,2022,12,ha,NSI
AT32,Total wheat,Production,1403.0991666666666,2008,2022,12,t,NSI
AT32,Total wheat,Yield,5.530833333333334,2008,2022,12,t/ha,NSI
AT33,Total wheat,Area,121.320625,2007,2022,16,ha,NSI
AT33,Total wheat,Production,611.389375,2007,2022,16,t,NSI
AT33,Total wheat,Yield,5.051875,2007,2022,16,t/ha,NSI
AT34,Total wheat,Area,9.27,2008,2022,13,ha,NSI
AT34,Total wheat,Production,46.74923076923077,2008,2022,13,t,NSI
AT34,Total wheat,Yield,5.038461538461538,2008,2022,13,t/ha,NSI
BE10,Total wheat,Area,346.0,2006,2016,10,ha,Mixed
BE10,Total wheat,Production,2972.0,2006,2016,10,t,Mixed
BE10,Total wheat,Yield,7.2700000000000005,2006,2016,9,t/ha,Mixed
BE21,Total wheat,Area,1439.6470588235295,2006,2022,17,ha,Mixed
BE21,Total wheat,Production,10367.35294117647,2006,2022,17,t,Mixed
BE21,Total wheat,Yield,7.2441176470588236,2006,2022,17,t/ha,Mixed
BE22,Total wheat,Area,8815.0,2006,2022,17,ha,Mixed
BE22,Total wheat,Production,79936.64705882352,2006,2022,17,t,Mixed
BE22,Total wheat,Yield,9.078823529411764,2006,2022,17,t/ha,Mixed
BE23,Total wheat,Area,12785.0,2006,2022,17,ha,Mixed
BE23,Total wheat,Production,111275.0,2006,2022,17,t,Mixed
BE23,Total wheat,Yield,8.71764705882353,2006,2022,17,t/ha,Mixed
BE24,Total wheat,Area,17724.647058823528,2006,2022,17,ha,Mixed
BE24,Total wheat,Production,153310.17647058822,2006,2022,17,t,Mixed
BE24,Total wheat,Yield,8.66,2006,2022,17,t/ha,Mixed
BE25,Total wheat,Area,26260.29411764706,2006,2022,17,ha,Mixed
BE25,Total wheat,Production,236621.17647058822,2006,2022,17,t,Mixed
BE25,Total wheat,Yield,9.012352941176472,2006,2022,17,t/ha,Mixed
BE31,Total wheat,Area,20744.29411764706,2006,2022,17,ha,Mixed
BE31,Total wheat,Production,182639.0,2006,2022,17,t,Mixed
BE31,Total wheat,Yield,8.814705882352941,2006,2022,17,t/ha,Mixed
BE32,Total wheat,Area,54218.58823529412,2006,2022,17,ha,Mixed
BE32,Total wheat,Production,468587.70588235295,2006,2022,17,t,Mixed
BE32,Total wheat,Yield,8.648235294117647,2006,2022,17,t/ha,Mixed
BE33,Total wheat,Area,24455.647058823528,2006,2022,17,ha,Mixed
BE33,Total wheat,Production,219049.41176470587,2006,2022,17,t,Mixed
BE33,Total wheat,Yield,8.965882352941176,2006,2022,17,t/ha,Mixed
BE34,Total wheat,Area,4505.470588235294,2006,2022,17,ha,Mixed
BE34,Total wheat,Production,26694.823529411766,2006,2022,17,t,Mixed
BE34,Total wheat,Yield,6.029411764705882,2006,2022,17,t/ha,Mixed
BE35,Total wheat,Area,32286.647058823528,2006,2022,17,ha,Mixed
BE35,Total wheat,Production,262403.1176470588,2006,2022,17,t,Mixed
BE35,Total wheat,Yield,8.125294117647059,2006,2022,17,t/ha,Mixed
BG31,Total wheat,Area,239466.0625,2006,2021,16,ha,NSI
BG31,Total wheat,Production,1070266.9375,2006,2021,16,t,NSI
BG31,Total wheat,Yield,4.328125,2006,2021,16,t/ha,NSI
BG32,Total wheat,Area,233298.6875,2006,2021,16,ha,NSI
BG32,Total wheat,Production,1089203.8125,2006,2021,16,t,NSI
BG32,Total wheat,Yield,4.6825,2006,2021,16,t/ha,NSI
