IDREGION;CROP_NAME;VARIABLE;YEAR;VALUE;SOURCE;CALCULATED_REGION;CALCULATED_CROP;CALCULATED_VALUE;COHERENCE_A_P_Y;ZERO_SET_AS_NULL;COHERENCE_CROP;UNIT
IE04;Total wheat;Yield;2010;8.82;Eurostat;;;Yes;Yes;;No;t/ha
IE04;Total wheat;Yield;2011;9.88;Eurostat;;;Yes;Yes;;No;t/ha
IE04;Total wheat;Yield;2012;7.15;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2013;12.24;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2014;9.47;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2015;9.89;Eurostat;;;Yes;Yes;;Yes;t/ha
IE04;Total wheat;Yield;2016;8.45;Eurostat;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2006;3.75;NSI;;;Yes;Yes;;;t/ha
HU311;Total wheat;Yield;2007;3.28;NSI;;;Yes;Yes;;;t/ha
HU311;Total wheat;Yield;2008;4.75;NSI;;;Yes;Yes;;;t/ha
HU311;Total wheat;Yield;2009;3.91;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2010;3.8;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2011;4.12;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2012;3.69;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2013;4.39;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2014;4.8;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2015;4.98;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2016;5.5;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2017;5.58;NSI;;;Yes;Yes;;No;t/ha
HU311;Total wheat;Yield;2018;5.03;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2019;5.38;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2020;5.38;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2021;5.73;NSI;;;Yes;Yes;;Yes;t/ha
HU311;Total wheat;Yield;2022;4.44;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2006;2.86;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2007;3.19;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2008;3.15;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2009;3.41;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2010;2.54;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2011;3.19;NSI;;;Yes;No;;No;t/ha
FI193;Total wheat;Yield;2012;2.67;Mixed;;;Yes;Yes;;No;t/ha
FI193;Total wheat;Yield;2013;3.53;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2014;2.94;NSI;;;Yes;Yes;;Yes;t/ha
FI193;Total wheat;Yield;2015;3.36;NSI;;;Yes;Yes;;Yes;t/ha
